index,Image,Nom,reference,Catégorie,Montant HT,Montant TTC,Quantité,État,Position,code_moteur,link
1,https://diesel-injecteurs.com/19374/injecteur-volkswagen-touareg-ii-30-tdi-v6-24v-fap-blue-motion-tiptronic-204300-cv-boite-auto-.jpg,Injecteur 0445117026  VOLKSWAGEN Touareg II 3.0 TDi V6 24V FAP blue motion Tiptronic 204///300 cv Boîte auto,445117026,Injecteurs,145,174,0,1,,"CASD,CDTB,CDUC,CDUD,CJMA,CKVB,CKVC,CKVD,CRCD,CRTF,CTBA,CTBB,CTBC,CTBD,CTCB,CTCC,CVVA,CVWA,CZVB,CZVC,CZVD,MCR.CB,MCT.BA,MCT.BB,MCT.BC,MCV.VA,MCV.VB,MCV.VC",https://www.autonorma.fr/p/36849-injecteur-common-rail-bosch-piezo-0445117026-neuf
2,https://diesel-injecteurs.com/19373/injecteur-volkswagen-touareg-ii-30-tdi-v6-24v-fap-blue-motion-tiptronic-204300-cv-boite-auto-.jpg,Injecteur VOLKSWAGEN Touareg II 3.0 TDi V6 24V FAP blue motion Tiptronic 204///300 cv Boîte auto,445117026,Accueil,145,174,10,0,,"CASD,CDTB,CDUC,CDUD,CJMA,CKVB,CKVC,CKVD,CRCD,CRTF,CTBA,CTBB,CTBC,CTBD,CTCB,CTCC,CVVA,CVWA,CZVB,CZVC,CZVD,MCR.CB,MCT.BA,MCT.BB,MCT.BC,MCV.VA,MCV.VB,MCV.VC",https://www.autonorma.fr/p/36849-injecteur-common-rail-bosch-piezo-0445117026-neuf
3,https://diesel-injecteurs.com/2824/turbo-echange-standard-23-dci-130-cv-kkk-5303-970-0417.jpg,"Turbo échange standard 2,3 dCi 130 CV KKK (5303 970 0417)",53039700417,Turbos échange standard,500,500,10,0,,"M9T,M9T 692,M9T 704,M9T 870,M9T 890",https://www.autonorma.fr/p/28587-turbocompresseur-kkk-53039700417
28314,https://diesel-injecteurs.com/9482/injecteurs-mercedes-vito-111-cdi-116-cv-bosch-445110137.jpg,Injecteurs MERCEDES VITO 111 CDI  116 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28313,https://diesel-injecteurs.com/9481/injecteurs-mercedes-vito-115-cdi-4x4-150-cv-bosch-445110137.jpg,Injecteurs MERCEDES VITO 115 CDI 4x4  150 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28312,https://diesel-injecteurs.com/9480/injecteurs-mercedes-vito-115-cdi-150-cv-bosch-445110137.jpg,Injecteurs MERCEDES VITO 115 CDI  150 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28311,https://diesel-injecteurs.com/9479/injecteurs-mercedes-vito-111-cdi-4x4-109-cv-bosch-445110137.jpg,Injecteurs MERCEDES VITO 111 CDI 4x4  109 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28310,https://diesel-injecteurs.com/9478/injecteurs-mercedes-vito-111-cdi-109-cv-bosch-445110137.jpg,Injecteurs MERCEDES VITO 111 CDI  109 CV BOSCH (445110137),445110137,Accueil,135,135,6,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28309,https://diesel-injecteurs.com/9477/injecteurs-mercedes-viano-cdi-22-4-matic-639711-639713-639811-639813-150-cv-bosch-445110137.jpg,"Injecteurs MERCEDES VIANO CDI 2.2 4-matic (639.711, 639.713, 639.811, 639.813,... 150 CV BOSCH (445110137)",445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28308,https://diesel-injecteurs.com/9476/injecteurs-mercedes-viano-cdi-22-150-cv-bosch-445110137.jpg,Injecteurs MERCEDES VIANO CDI 2.2  150 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28307,https://diesel-injecteurs.com/9475/injecteurs-mercedes-viano-cdi-20-4-matic-109-cv-bosch-445110137.jpg,Injecteurs MERCEDES VIANO CDI 2.0 4-matic  109 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28306,https://diesel-injecteurs.com/9474/injecteurs-mercedes-viano-cdi-20-109-cv-bosch-445110137.jpg,Injecteurs MERCEDES VIANO CDI 2.0  109 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28305,https://diesel-injecteurs.com/9473/injecteurs-mercedes-viano-cdi-20-116-cv-bosch-445110137.jpg,Injecteurs MERCEDES VIANO CDI 2.0  116 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28304,https://diesel-injecteurs.com/9472/injecteurs-mercedes-classe-e-e-200-cdi-122-cv-bosch-445110137.jpg,Injecteurs MERCEDES Classe E E 200 CDI  122 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28303,https://diesel-injecteurs.com/9471/injecteurs-mercedes-classe-e-e-200-cdi-102-cv-bosch-445110137.jpg,Injecteurs MERCEDES Classe E E 200 CDI  102 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28302,https://diesel-injecteurs.com/9470/injecteurs-mercedes-classe-e-e-220-t-cdi-150-cv-bosch-445110137.jpg,Injecteurs MERCEDES Classe E E 220 T CDI  150 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28301,https://diesel-injecteurs.com/9469/injecteurs-mercedes-classe-e-e-220-cdi-136-cv-bosch-445110137.jpg,Injecteurs MERCEDES Classe E E 220 CDI  136 CV BOSCH (445110137),445110137,Accueil,135,135,10,0,,"OM 646.951,OM 646.961,OM 646.980,OM 646.982",https://www.autonorma.fr/p/24656-injecteur-common-rail-bosch-cri-0445110137
28300,https://diesel-injecteurs.com/9413/injecteurs-volkswagen-lt-ii-28-tdi-158-cv-bosch-445110125.jpg,Injecteurs VOLKSWAGEN LT II 2.8 TDI 158 CV BOSCH (445110125),445110125,Accueil,135,135,10,0,,"AUH,BCQ",https://www.autonorma.fr/p/36332-injecteur-common-rail-bosch-cri-0445110125-neuf
28299,https://diesel-injecteurs.com/9412/injecteurs-bmw-serie-7-740-d-258-cv-bosch-445110122.jpg,Injecteurs BMW Série 7 740 d 258 CV BOSCH (445110122),445110122,Accueil,135,135,10,0,,M67 D39 (398D1),https://www.autonorma.fr/p/24650-injecteur-common-rail-bosch-cri-0445110122
28298,https://diesel-injecteurs.com/9378/injecteurs-fiat-punto-ii-19-jtd-101-cv-bosch-445110112.jpg,Injecteurs FIAT PUNTO II 1.9 JTD 101 CV BOSCH (445110112),445110112,Accueil,135,135,10,0,,188 B2.000,https://www.autonorma.fr/p/36329-injecteur-common-rail-bosch-cri-0445110112-neuf
28297,https://diesel-injecteurs.com/9377/injecteurs-fiat-idea-19-jtd-101-cv-bosch-445110112.jpg,Injecteurs FIAT IDEA 1.9 JTD 101 CV BOSCH (445110112),445110112,Accueil,135,135,10,0,,188 B2.000,https://www.autonorma.fr/p/36329-injecteur-common-rail-bosch-cri-0445110112-neuf
28296,https://diesel-injecteurs.com/9132/injecteurs-peugeot-expert-20-hdi-94-cv-bosch-445110020.jpg,Injecteurs PEUGEOT EXPERT 2.0 HDI 94 CV BOSCH (445110020),445110020,Accueil,135,135,10,0,,"RHS (DW10ATED),RHW (DW10ATED4),RHX,RHX (DW10BTED),RHY (DW10TD),RHZ,RHZ (DW10ATED),RHZ (DW10BTED),RHZ (DW10BTED+),RHZ (DW10CTED),RHZ (DW10CTED+)",https://www.autonorma.fr/p/36319-injecteur-common-rail-bosch-cri-0445110020-neuf
28295,https://diesel-injecteurs.com/9131/injecteurs-peugeot-expert-20-hdi-109-cv-bosch-445110020.jpg,Injecteurs PEUGEOT EXPERT 2.0 HDI 109 CV BOSCH (445110020),445110020,Accueil,135,135,10,0,,"RHS (DW10ATED),RHW (DW10ATED4),RHX,RHX (DW10BTED),RHY (DW10TD),RHZ,RHZ (DW10ATED),RHZ (DW10BTED),RHZ (DW10BTED+),RHZ (DW10CTED),RHZ (DW10CTED+)",https://www.autonorma.fr/p/36319-injecteur-common-rail-bosch-cri-0445110020-neuf
28294,https://diesel-injecteurs.com/9130/injecteurs-peugeot-806-20-hdi-109-cv-bosch-445110020.jpg,Injecteurs PEUGEOT 806 2.0 HDI 109 CV BOSCH (445110020),445110020,Accueil,135,135,10,0,,"RHS (DW10ATED),RHW (DW10ATED4),RHX,RHX (DW10BTED),RHY (DW10TD),RHZ,RHZ (DW10ATED),RHZ (DW10BTED),RHZ (DW10BTED+),RHZ (DW10CTED),RHZ (DW10CTED+)",https://www.autonorma.fr/p/36319-injecteur-common-rail-bosch-cri-0445110020-neuf
28293,https://diesel-injecteurs.com/9129/injecteurs-peugeot-406-20-hdi-90-90-cv-bosch-445110020.jpg,Injecteurs PEUGEOT 406 2.0 HDI 90 90 CV BOSCH (445110020),445110020,Accueil,135,135,10,0,,"RHS (DW10ATED),RHW (DW10ATED4),RHX,RHX (DW10BTED),RHY (DW10TD),RHZ,RHZ (DW10ATED),RHZ (DW10BTED),RHZ (DW10BTED+),RHZ (DW10CTED),RHZ (DW10CTED+)",https://www.autonorma.fr/p/36319-injecteur-common-rail-bosch-cri-0445110020-neuf
28292,https://diesel-injecteurs.com/9128/injecteurs-peugeot-406-20-hdi-110-107-cv-bosch-445110020.jpg,Injecteurs PEUGEOT 406 2.0 HDi 110 107 CV BOSCH (445110020),445110020,Accueil,135,135,10,0,,"RHS (DW10ATED),RHW (DW10ATED4),RHX,RHX (DW10BTED),RHY (DW10TD),RHZ,RHZ (DW10ATED),RHZ (DW10BTED),RHZ (DW10BTED+),RHZ (DW10CTED),RHZ (DW10CTED+)",https://www.autonorma.fr/p/36319-injecteur-common-rail-bosch-cri-0445110020-neuf
28291,https://diesel-injecteurs.com/9127/injecteurs-peugeot-406-20-hdi-110-109-cv-bosch-445110020.jpg,Injecteurs PEUGEOT 406 2.0 HDI 110 109 CV BOSCH (445110020),445110020,Accueil,135,135,10,0,,"RHS (DW10ATED),RHW (DW10ATED4),RHX,RHX (DW10BTED),RHY (DW10TD),RHZ,RHZ (DW10ATED),RHZ (DW10BTED),RHZ (DW10BTED+),RHZ (DW10CTED),RHZ (DW10CTED+)",https://www.autonorma.fr/p/36319-injecteur-common-rail-bosch-cri-0445110020-neuf
28290,https://diesel-injecteurs.com/9126/injecteurs-peugeot-306-20-hdi-90-90-cv-bosch-445110020.jpg,Injecteurs PEUGEOT 306 2.0 HDI 90 90 CV BOSCH (445110020),445110020,Accueil,135,135,10,0,,"RHS (DW10ATED),RHW (DW10ATED4),RHX,RHX (DW10BTED),RHY (DW10TD),RHZ,RHZ (DW10ATED),RHZ (DW10BTED),RHZ (DW10BTED+),RHZ (DW10CTED),RHZ (DW10CTED+)",https://www.autonorma.fr/p/36319-injecteur-common-rail-bosch-cri-0445110020-neuf
28289,https://diesel-injecteurs.com/9125/injecteurs-peugeot-206-20-hdi-90-90-cv-bosch-445110020.jpg,Injecteurs PEUGEOT 206 2.0 HDI 90 90 CV BOSCH (445110020),445110020,Accueil,135,135,10,0,,"RHS (DW10ATED),RHW (DW10ATED4),RHX,RHX (DW10BTED),RHY (DW10TD),RHZ,RHZ (DW10ATED),RHZ (DW10BTED),RHZ (DW10BTED+),RHZ (DW10CTED),RHZ (DW10CTED+)",https://www.autonorma.fr/p/36319-injecteur-common-rail-bosch-cri-0445110020-neuf
28288,https://diesel-injecteurs.com/9124/injecteurs-lancia-zeta-20-jtd-109-cv-bosch-445110020.jpg,Injecteurs LANCIA ZETA 2.0 JTD 109 CV BOSCH (445110020),445110020,Accueil,135,135,10,0,,"RHS (DW10ATED),RHW (DW10ATED4),RHX,RHX (DW10BTED),RHY (DW10TD),RHZ,RHZ (DW10ATED),RHZ (DW10BTED),RHZ (DW10BTED+),RHZ (DW10CTED),RHZ (DW10CTED+)",https://www.autonorma.fr/p/36319-injecteur-common-rail-bosch-cri-0445110020-neuf
