title,price,link,code_moteur,brand,brand_html,description,index,reference
Turbocompresseur KKK 54399880072,262 € TTC,https://www.autonorma.fr/p/26185-turbocompresseur-kkk-54399880072,"ATD,AXR,BJB,BKC,BLS,BMT,BRU,BSU,BSW,BXE,BXF,BXJ",AUDI         A3 Kabriolet           A3 Hatchback 3-Door           A3 Hatchback 5-Door,,"Turbocompresseur KKK 54399880072 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",0,54399880072
Turbocompresseur GARRETT 717858-5009S,234 € TTC,https://www.autonorma.fr/p/26140-turbocompresseur-garrett-717858-5009s,"AVF,AWX,BGW,BHW,BLB,BNA,BPW,BRC,BRE,BRF,BSS,CAGB",AUDI         A4 B6/B7 Kabriolet           A4 B6 Avant/Kombi           A4 B6 Sedan           A4 B7 Avant/Kombi           A4 B7 Sedan           A6 C5 Avant/Kombi           A6 C5 Sedan           A6 C6 Avant/Kombi           A6 C6 Sedan,,"Turbocompresseur GARRETT 717858-5009S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",1,717858-5009s
Turbocompresseur MITSUBISHI 49173-07508,181 € TTC,https://www.autonorma.fr/p/35684-turbocompresseur-mitsubishi-49173-07508,"9H07 (DV6UC),9HM (DV6UC),9HS (DV6TED4BU),9HT (DV6BTED4),9HT (DV6BUTED4),9HU,9HU (DV6UTED4),9HV (DV6TED4B),9HV (DV6TED4BU),9HW (DV6BTED4),9HX,9HX (DV6ATED4),9HX (DV6AUTED4),DV6B,GPDA,GPDB,GPDC,HHDA,HHDB,HHJA,HHJB,HHJC,HHJD,HHJE,HHJF,UBJA,Y406",CITROËN         BERLINGO MULTISPACE MPV I           BERLINGO MULTISPACE MPV II           BERLINGO Platform/Chassis           BERLINGO VAN I           BERLINGO VAN II           C3           C3 II           C3 PICASSO MPV           C4 Kupé           C4 Hatchback           DISPATCH II MPV           DISPATCH II VAN           DISPATCH Platform/Chassis           XSARA PICASSO MPV,,"Turbocompresseur MITSUBISHI 49173-07508 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",2,49173-07508
Turbocompresseur GARRETT 810358-5005S,754 € TTC,https://www.autonorma.fr/p/29266-turbocompresseur-garrett-810358-5005s,"SHY1,SHY4,SHY6,SHY8",MAZDA         3           3 Sedan           6 Kombi           6 Sedan           CX-5           CX-5,,"Turbocompresseur GARRETT 810358-5005S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",3,810358-5005s
Turbocompresseur GARRETT 757779-5022S,400 € TTC,https://www.autonorma.fr/p/29236-turbocompresseur-garrett-757779-5022s,"D 5244 T13,D 5244 T16,D 5244 T17,D 5244 T19,D 5244 T4,D 5244 T5,D 5244 T7,D 5244 T8,D 5244 T9",VOLVO         C30 Hatchback           C70 Kabriolet           S40 II Sedan           S60 Sedan           S80 II Sedan           V50 Kombi           V70 II Kombi           V70 III Kombi           XC60 SUV           XC70 I Kombi           XC70 II Kombi           XC90 SUV,,"Turbocompresseur GARRETT 757779-5022S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",4,757779-5022s
Turbocompresseur GARRETT 803955-5005S,373 € TTC,https://www.autonorma.fr/p/29205-turbocompresseur-garrett-803955-5005s,"CDBA,CKTB,CKTC,CNFA,CNFB,CSLA,CSLB,CSLC",VW         AMAROK           AMAROK Platform/Chassis           CRAFTER 30-35 Minibus           CRAFTER 30-50 Valník           CRAFTER 30-50 VAN,,"Turbocompresseur GARRETT 803955-5005S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",5,803955-5005s
Turbocompresseur KKK 53039880110,442 € TTC,https://www.autonorma.fr/p/26507-turbocompresseur-kkk-53039880110,"A 16 LEL,A 16 LER,A 16 LES,A 16 LET,A 16 XNT,B 16 LER,B 16 LES,B 16 XNT,Z 16 LEL,Z 16 LER,Z 16 LET,Z 16 XNT",OPEL         ASTRA H Kabriolet           ASTRA H Kombi           ASTRA H GTC Hatchback           ASTRA H Hatchback           ASTRA J           ASTRA J Kupé           ASTRA J Sedan           ASTRA J Sports Tourer           CORSA D Hatchback           CORSA E           INSIGNIA A Sports Tourer           INSIGNIA Hatchback           INSIGNIA Sedan           MERIVA           ZAFIRA B MPV           ZAFIRA B Van           ZAFIRA TOURER C,,"Turbocompresseur KKK 53039880110 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",6,53039880110
Turbocompresseur KKK 53049880115,343 € TTC,https://www.autonorma.fr/p/29138-turbocompresseur-kkk-53049880115,276DT,LAND ROVER         DISCOVERY IV           DISCOVERY III           RANGE ROVER SPORT,,"Turbocompresseur KKK 53049880115 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",7,53049880115
Turbocompresseur GARRETT 759394-5002S,426 € TTC,https://www.autonorma.fr/p/26187-turbocompresseur-garrett-759394-5002s,N22A2,HONDA         CR-V III SUV,,"Turbocompresseur GARRETT 759394-5002S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",8,759394-5002s
Turbocompresseur GARRETT 726683-5002S,306 € TTC,https://www.autonorma.fr/p/26285-turbocompresseur-garrett-726683-5002s,4HX (DW12TED4/FAP),CITROËN         C5 I Kombi           C5 I Hatchback           C5 II Kombi           C5 II Hatchback,,"Turbocompresseur GARRETT 726683-5002S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",9,726683-5002s
Turbocompresseur KKK 54359700005,188 € TTC,https://www.autonorma.fr/p/26117-turbocompresseur-kkk-54359700005,"169 A1.000,169 A5.000,169A1000,188 A8.000,188 A9.000,199 A2.000,199 A9.000,199 B2.000,A 13 DTC,BAAA,FD4,Z 13 DTJ",FIAT         500           500 C           DOBLO CARGO VAN           DOBLO MPV           FIORINO QUBO           FIORINO VAN           GRANDE PUNTO           GRANDE PUNTO Van           IDEA MPV           IDEA Van           PANDA II Hatchback           PANDA Van           PUNTO           PUNTO EVO           PUNTO II Hatchback           PUNTO II VAN           PUNTO Van,,"Turbocompresseur KKK 54359700005 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",10,54359700005
Turbocompresseur KKK 54399700065,407 € TTC,https://www.autonorma.fr/p/26256-turbocompresseur-kkk-54399700065,M57 D30 (306D5),BMW         3 Touring           3 Kupé           3 Sedan           5 Kombi           5 Sedan           6 Kabriolet           6 Kupé           X3           X5           X6,,"Turbocompresseur KKK 54399700065 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",11,54399700065
Turbocompresseur MITSUBISHI 49335-01001,343 € TTC,https://www.autonorma.fr/p/26432-turbocompresseur-mitsubishi-49335-01001,4N13,MITSUBISHI         ASX           LANCER VIII Kombi           LANCER VIII Sedan,,"Turbocompresseur MITSUBISHI 49335-01001 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",12,49335-01001
Turbocompresseur GARRETT 752610-5032S,301 € TTC,https://www.autonorma.fr/p/29120-turbocompresseur-garrett-752610-5032s,"DT244,H9FB,H9FD",FORD         TRANSIT VII           TRANSIT VII           TRANSIT VII,,"Turbocompresseur GARRETT 752610-5032S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",13,752610-5032s
Turbocompresseur GARRETT 454191-5015S,306 € TTC,https://www.autonorma.fr/p/26097-turbocompresseur-garrett-454191-5015s,M57 D30 (306D1),BMW         5 Kombi           5 Sedan           7 Sedan,,"Turbocompresseur GARRETT 454191-5015S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",14,454191-5015s
Turbocompresseur KKK 54359880009,192 € TTC,https://www.autonorma.fr/p/26226-turbocompresseur-kkk-54359880009,"2WZ-TV,8HR (DV4C),8HS (DV4TED),8HT (DV4TD),8HX (DV4TD),8HZ (DV4TD),9HS (DV6TED4BU),9HT (DV6BTED4),9HT (DV6BUTED4),9HU,9HU (DV6UTED4),9HV (DV6TED4B),9HV (DV6TED4BU),9HW (DV6BTED4),9HX (DV6ATED4),9HX (DV6AUTED4),DV6B,F6JA,F6JB,F6JD,GPDA,GPDB,GPDC,HHDA,HHDB,HHJA,HHJB,HHJC,HHJD,HHJE,HHJF,KVJA,UBJA,Y404",CITROËN         BERLINGO MULTISPACE MPV I           BERLINGO MULTISPACE MPV II           BERLINGO VAN I           BERLINGO VAN II           C1           C2           C2 ENTERPRISE           C3           C3 II           C3 PICASSO MPV           C3 PLURIEL           C4 Kupé           C4 Hatchback           DISPATCH II MPV           DISPATCH II VAN           NEMO Kombi           NEMO VAN           XSARA Kupé           XSARA Kombi           XSARA Hatchback           XSARA PICASSO MPV,,"Turbocompresseur KKK 54359880009 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",15,54359880009
Turbocompresseur GARRETT 753519-5009S,396 € TTC,https://www.autonorma.fr/p/29122-turbocompresseur-garrett-753519-5009s,QWFA,FORD         TRANSIT VII           TRANSIT VII           TRANSIT VII           TRANSIT VII,,"Turbocompresseur GARRETT 753519-5009S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",16,753519-5009s
Turbocompresseur GARRETT 762060-5009S,343 € TTC,https://www.autonorma.fr/p/29186-turbocompresseur-garrett-762060-5009s,"D 5244 T13,D 5244 T16,D 5244 T17,D 5244 T19,D 5244 T4,D 5244 T5,D 5244 T7,D 5244 T8,D 5244 T9",VOLVO         C30 Hatchback           C70 Kabriolet           S40 II Sedan           S60 Sedan           S80 II Sedan           V50 Kombi           V70 II Kombi           V70 III Kombi           XC60 SUV           XC70 I Kombi           XC70 II Kombi           XC90 SUV,,"Turbocompresseur GARRETT 762060-5009S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",17,762060-5009s
Turbocompresseur CONTINENTAL 2800013001280,456 € TTC,https://www.autonorma.fr/p/29210-turbocompresseur-continental-2800013001280,"B7DA,M1CA,M1CB,M1DA,M1DC,M1DD,M1DH,M1JA,M1JC,M1JE,M1JH,M1JJ,M1JL,M1JM,M1JU,SFJE,SFJF,SFJH,SFJJ,SFJK,SFJN,SFJP,YYJC,YYJD,YYJE",FORD         B-MAX           B-MAX Van           C-MAX II           C-MAX II Van           ECOSPORT           FIESTA VII Hatchback           FIESTA VII           FOCUS III           FOCUS III Sedan           FOCUS III Turnier           GRAND C-MAX           GRAND C-MAX Van           MONDEO V Hatchback           MONDEO V Turnier,,"Turbocompresseur CONTINENTAL 2800013001280 d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",18,2800013001280
Turbocompresseur GARRETT 454205-5006S,301 € TTC,https://www.autonorma.fr/p/26098-turbocompresseur-garrett-454205-5006s,"ANJ,AVR",VW         LT II Valník           LT II Minibus           LT II VAN,,"Turbocompresseur GARRETT 454205-5006S d'origine avec un protocole de calibrage de 100% de fonctionnalité avec deux annes de garantie et sans limitation des kilometrés. Turbocompresseurs avons les nouveau CHRA (milieu) et logicieles, les pièces fonctionnelles ont été sablées et peintes. Le turbocompresseur a été correctement réglé après l'assemblage et la pression de remplissage et sa progression ont été testées sur un banc d'essai CIMAT. Le turbocompresseur est accompagné des instructions de montage afin de vous aider à ne pas endommager votre turbocompresseur réconditionée.",19,454205-5006s
